row_index,split,category,source_conversation_id,source_turn_index,user,assistant
22,train,clear_order_item,dlg-2ecd8d99-07d4-41a3-86bb-40db13dae2ec,3,Üç ezogelin çorbası alabilir miyim?,3 adet ezogelin çorbası istediğinizi anladım. Güncel menüde varsa siparişe eklenebilir. Başka bir isteğiniz var mı?
23,train,confirm_or_close_order,dlg-09cccabc-a782-4d4a-b85a-220bad47cca9,9,Bu sipariş yeterli.,Tamam. Başka bir isteğiniz olmadığını anladım.
24,train,side_drink_extra_request,dlg-0bef419d-8baa-4fe9-a238-cb56f93c8cc7,5,Bir de 2 çay olsun.,2 adet çay istediğinizi anladım. Güncel menüde varsa siparişe eklenebilir. Başka bir isteğiniz var mı?
25,train,remove_or_change_order,dlg-24db57c8-af45-4b24-b117-6d60b5417808,13,"suyu istemiyorum, çıkaralım.",Tabii. Suyu siparişten çıkarmak istediğinizi anladım. Başka bir değişiklik var mı?
26,train,confirm_or_close_order,dlg-0a2187ca-7e7e-4f03-8c42-bc6235d35477,6,Şu an başka isteğim yok.,Tamam. Başka bir isteğiniz olmadığını anladım.
27,train,clear_order_item,dlg-0adc24d6-bfa2-478e-80d1-5605779803a4,4,2 salata istiyorum.,2 adet salata istediğinizi anladım. Güncel menüde varsa siparişe eklenebilir. Başka bir isteğiniz var mı?
28,train,add_more_quantity,dlg-0354e60a-4747-408a-9d1b-6c981d4d579f,6,1 kahve daha.,1 adet kahve daha istediğinizi anladım. Güncel menüde varsa siparişe eklenebilir. Başka bir isteğiniz var mı?
29,train,remove_or_change_order,dlg-3273d2fd-49f3-4c76-84be-0a02cb3f3b5b,15,Lütfen kahveyi iptal edelim.,Tabii. Kahveyi siparişten çıkarmak istediğinizi anladım. Başka bir değişiklik var mı?
30,train,clear_order_item,dlg-1e84b109-2218-472e-877f-8ae112a08dd2,6,Bir ayran alabilir miyim?,Tabii. 1 adet ayran istediğinizi anladım. Başka bir isteğiniz var mı?
31,train,clear_order_item,dlg-09cccabc-a782-4d4a-b85a-220bad47cca9,5,2 soda istiyorum.,2 adet soda istediğinizi anladım. Güncel menüde varsa siparişe eklenebilir. Başka bir isteğiniz var mı?
32,train,clear_order_item,dlg-082d002c-82b7-4aa7-82fe-e19394fc7ea3,1,2 ayran istiyorum.,Tabii. 2 adet ayran istediğinizi anladım. Başka bir isteğiniz var mı?
33,train,confirm_or_close_order,dlg-00d882a3-255d-4e15-99cb-f068046d6eb2,13,Onaylıyorum.,Tamam. Siparişi onaylamak istediğinizi anladım.
34,train,clear_order_item,dlg-1b21a56a-66be-4586-9560-427bd537f2d6,11,4 tavuk şiş istiyorum.,4 adet tavuk şiş istediğinizi anladım. Güncel menüde varsa siparişe eklenebilir. Başka bir isteğiniz var mı?
35,train,remove_or_change_order,dlg-252078cf-2674-4577-b6f2-dea85348d727,9,"çayı istemiyorum, çıkaralım.",Tabii. Çayı siparişten çıkarmak istediğinizi anladım. Başka bir değişiklik var mı?
36,train,add_more_quantity,dlg-0d4b50d3-9db7-449d-856c-1061ce25b225,6,2 kahve daha.,2 adet kahve daha istediğinizi anladım. Güncel menüde varsa siparişe eklenebilir. Başka bir isteğiniz var mı?
37,train,confirm_or_close_order,dlg-0d81af4c-88f1-48ba-91db-f85f7b1c7f02,4,Bu kadar alacağım.,Tamam. Başka bir isteğiniz olmadığını anladım.
38,train,confirm_or_close_order,dlg-0c7b4e1f-eeb6-4036-9d93-3ebbee1d6253,11,Benim için bu kadar.,Tamam. Başka bir isteğiniz olmadığını anladım.
39,train,clear_order_item,dlg-00d882a3-255d-4e15-99cb-f068046d6eb2,6,1 su istiyorum.,1 adet su istediğinizi anladım. Güncel menüde varsa siparişe eklenebilir. Başka bir isteğiniz var mı?
40,train,clear_order_item,dlg-283321ca-20f3-49f1-a4f8-3aea84a36b43,5,İki tavuk şiş alabilir miyim?,2 adet tavuk şiş istediğinizi anladım. Güncel menüde varsa siparişe eklenebilir. Başka bir isteğiniz var mı?
41,train,clear_order_item,dlg-25e5b89b-d234-4513-9c40-1d3a142f4084,5,İki salata alabilir miyim?,2 adet salata istediğinizi anladım. Güncel menüde varsa siparişe eklenebilir. Başka bir isteğiniz var mı?
42,train,remove_or_change_order,dlg-0f909662-6a8d-451d-9fe7-66ceac817cc2,7,baklavayı çıkarır mısın?,Tabii. Baklavayı siparişten çıkarmak istediğinizi anladım. Başka bir değişiklik var mı?
43,train,confirm_or_close_order,dlg-068b2ad4-8f09-4417-87be-fd3b387ddd40,21,"Tamam, onaylayabilirsiniz.",Tamam. Siparişi onaylamak istediğinizi anladım.
44,train,side_drink_extra_request,dlg-0354e60a-4747-408a-9d1b-6c981d4d579f,6,Bir de 1 su olsun.,1 adet su istediğinizi anladım. Güncel menüde varsa siparişe eklenebilir. Başka bir isteğiniz var mı?
45,train,clear_order_item,dlg-025a1022-3f81-4266-b4a9-da0b7deb3d24,3,1 soda istiyorum.,1 adet soda istediğinizi anladım. Güncel menüde varsa siparişe eklenebilir. Başka bir isteğiniz var mı?
46,train,add_more_quantity,dlg-061066f5-b9d3-4537-9d77-a94233473558,6,1 mercimek çorbası daha.,Tabii. 1 adet mercimek çorbası daha eklemek istediğinizi anladım. Başka bir isteğiniz var mı?
47,train,clear_order_item,dlg-15f8db6a-85dd-47a8-b477-6034b2d4f088,3,3 makarna istiyorum.,3 adet makarna istediğinizi anladım. Güncel menüde varsa siparişe eklenebilir. Başka bir isteğiniz var mı?
48,train,side_drink_extra_request,dlg-1b4d1b2b-0aed-4dd4-b6c7-8341559825aa,4,Son olarak baklava ekleyelim.,baklava istediğinizi anladım. Güncel menüde varsa siparişe eklenebilir. Başka bir isteğiniz var mı?
49,train,remove_or_change_order,dlg-082d002c-82b7-4aa7-82fe-e19394fc7ea3,5,pilavı çıkarır mısın?,Tabii. Pilavı siparişten çıkarmak istediğinizi anladım. Başka bir değişiklik var mı?
50,train,remove_or_change_order,dlg-31ef6a50-2fff-4c34-9e1d-2bfeb3e93305,10,Lütfen suyu iptal edelim.,Tabii. Suyu siparişten çıkarmak istediğinizi anladım. Başka bir değişiklik var mı?
51,train,confirm_or_close_order,dlg-0c66117b-8113-4f69-9592-528c4c4d9e37,9,Bu siparişle bitirelim.,Tamam. Başka bir isteğiniz olmadığını anladım.
52,train,confirm_or_close_order,dlg-0adc24d6-bfa2-478e-80d1-5605779803a4,8,"Yeterli, başka istemiyorum.",Tamam. Başka bir isteğiniz olmadığını anladım.
53,train,order_clarification,dlg-bf5457d1-a86a-4bcd-817d-1aa3eda8b7dc,4,Bir sıcak içecek istiyorum.,Hangi sıcak içecek istediğinizi belirtir misiniz? Güncel menüye bakarak netleştirebiliriz.
54,train,confirm_or_close_order,dlg-0a2187ca-7e7e-4f03-8c42-bc6235d35477,10,"Tamam, bu kadar olsun.",Tamam. Başka bir isteğiniz olmadığını anladım.
55,train,remove_or_change_order,dlg-1f8539d4-68e5-40b1-bc55-2a56dca1856a,13,makarnayı siparişten çıkarabilir misiniz?,Tabii. Makarnayı siparişten çıkarmak istediğinizi anladım. Başka bir değişiklik var mı?
56,train,add_more_quantity,dlg-0d81af4c-88f1-48ba-91db-f85f7b1c7f02,2,2 soda daha.,2 adet soda daha istediğinizi anladım. Güncel menüde varsa siparişe eklenebilir. Başka bir isteğiniz var mı?
57,train,clear_order_item,dlg-15e47b61-038f-4b7e-ac78-8b1a0f76772e,14,3 pilav istiyorum.,3 adet pilav istediğinizi anladım. Güncel menüde varsa siparişe eklenebilir. Başka bir isteğiniz var mı?
58,train,side_drink_extra_request,dlg-1b0c2229-6434-4e4f-a003-c613ef507912,2,Bir de patates kızartması alabilir miyim?,patates kızartması istediğinizi anladım. Güncel menüde varsa siparişe eklenebilir. Başka bir isteğiniz var mı?
59,train,order_clarification,dlg-bf5457d1-a86a-4bcd-817d-1aa3eda8b7dc,4,Tatlı olarak ne önerirsiniz?,Tatlı tercihiniz için güncel menüye bakmak en doğrusu olur. Nasıl bir seçenek istediğinizi biraz açar mısınız?
60,train,remove_or_change_order,dlg-07a5eb77-8852-41f7-a885-bf6c2c9404d1,17,ezogelin çorbasını çıkarır mısın?,Tabii. Ezogelin çorbasını siparişten çıkarmak istediğinizi anladım. Başka bir değişiklik var mı?
61,train,confirm_or_close_order,dlg-0d3ecb86-e098-40b6-bd74-69d3f7bc9c76,10,Siparişi böyle bırakalım.,Tamam. Başka bir isteğiniz olmadığını anladım.
62,train,confirm_or_close_order,dlg-0d81af4c-88f1-48ba-91db-f85f7b1c7f02,2,"Evet, bu kadar yeter.",Tamam. Başka bir isteğiniz olmadığını anladım.
63,train,add_more_quantity,dlg-0923d68b-08ce-4992-85d5-3933c7deddc8,10,1 tavuk şiş daha.,1 adet tavuk şiş daha istediğinizi anladım. Güncel menüde varsa siparişe eklenebilir. Başka bir isteğiniz var mı?
64,train,remove_or_change_order,dlg-2373863a-38dd-4892-8dc0-e987513e11d8,8,sütlacı siparişten çıkarabilir misiniz?,Tabii. Sütlacı siparişten çıkarmak istediğinizi anladım. Başka bir değişiklik var mı?
65,train,confirm_or_close_order,dlg-072b3156-9fab-408c-b5da-0c22c2721724,7,Bu listeyi onaylıyorum.,Tamam. Siparişi onaylamak istediğinizi anladım.
66,train,confirm_or_close_order,dlg-0354e60a-4747-408a-9d1b-6c981d4d579f,10,Böyle onaylayalım.,Tamam. Siparişi onaylamak istediğinizi anladım.
67,train,add_more_quantity,dlg-33c14bf0-585f-4071-8547-2a97474cb6ba,6,Bir kahve daha alabilir miyim?,1 adet kahve daha istediğinizi anladım. Güncel menüde varsa siparişe eklenebilir. Başka bir isteğiniz var mı?
68,train,add_more_quantity,dlg-0d3ecb86-e098-40b6-bd74-69d3f7bc9c76,5,2 çay daha.,2 adet çay daha istediğinizi anladım. Güncel menüde varsa siparişe eklenebilir. Başka bir isteğiniz var mı?
69,train,remove_or_change_order,dlg-1b2a9551-5b42-453f-a82c-35c148cbff67,7,mercimek çorbasını siparişten çıkarabilir misiniz?,Tabii. Mercimek çorbasını siparişten çıkarmak istediğinizi anladım. Başka bir değişiklik var mı?
70,train,clear_order_item,dlg-1844d373-b934-45fa-b512-d8bdaaa68d7d,5,4 ayran istiyorum.,Tabii. 4 adet ayran istediğinizi anladım. Başka bir isteğiniz var mı?
71,train,confirm_or_close_order,dlg-0adc24d6-bfa2-478e-80d1-5605779803a4,7,Siparişim bu kadar.,Tamam. Başka bir isteğiniz olmadığını anladım.
72,train,clear_order_item,dlg-2b8717eb-d3c0-4fae-8450-3b65eec5e9e7,5,Üç ayran alabilir miyim?,Tabii. 3 adet ayran istediğinizi anladım. Başka bir isteğiniz var mı?
73,train,side_drink_extra_request,dlg-185d3005-5216-442a-b398-abff73713f79,4,Bir de pilav alabilir miyim?,pilav istediğinizi anladım. Güncel menüde varsa siparişe eklenebilir. Başka bir isteğiniz var mı?
74,train,order_clarification,dlg-78bb8466-5c92-425d-98f7-65a6f03a5730,5,Siparişe bir sos eklemek istiyorum.,Hangi sos istediğinizi belirtir misiniz? Güncel menüye bakarak netleştirebiliriz.
75,train,remove_or_change_order,dlg-068b2ad4-8f09-4417-87be-fd3b387ddd40,15,kahveyi çıkarır mısın?,Tabii. Kahveyi siparişten çıkarmak istediğinizi anladım. Başka bir değişiklik var mı?
76,train,confirm_or_close_order,dlg-06af4900-e9c9-4526-9621-7f4c102cf662,11,"Bu hali uygun, onaylıyorum.",Tamam. Siparişi onaylamak istediğinizi anladım.
77,train,clear_order_item,dlg-1439800b-4407-430a-bbb5-18a921e1f921,5,3 ezogelin çorbası istiyorum.,3 adet ezogelin çorbası istediğinizi anladım. Güncel menüde varsa siparişe eklenebilir. Başka bir isteğiniz var mı?
78,train,clear_order_item,dlg-110874f6-515b-4f86-bd46-74cbc377ea10,4,3 su istiyorum.,3 adet su istediğinizi anladım. Güncel menüde varsa siparişe eklenebilir. Başka bir isteğiniz var mı?
79,train,add_more_quantity,dlg-38e09630-55d3-408d-9281-fcf572a242c7,12,Bir ezogelin çorbası daha alabilir miyim?,1 adet ezogelin çorbası daha istediğinizi anladım. Güncel menüde varsa siparişe eklenebilir. Başka bir isteğiniz var mı?
80,train,add_more_quantity,dlg-1860e83e-b218-47a8-9c21-b7e0307e8628,4,3 limonata daha.,Tabii. 3 adet limonata daha eklemek istediğinizi anladım. Başka bir isteğiniz var mı?
81,train,confirm_or_close_order,dlg-0923d68b-08ce-4992-85d5-3933c7deddc8,12,Benden bu kadar.,Tamam. Başka bir isteğiniz olmadığını anladım.
82,train,order_clarification,dlg-d728d947-0090-4e0d-80dc-21e355a196a2,4,Çorba olarak ne önerirsiniz?,Çorba tercihiniz için güncel menüye bakmak en doğrusu olur. Nasıl bir seçenek istediğinizi biraz açar mısınız?
83,train,clear_order_item,dlg-110874f6-515b-4f86-bd46-74cbc377ea10,3,3 limonata istiyorum.,Tabii. 3 adet limonata istediğinizi anladım. Başka bir isteğiniz var mı?
84,train,confirm_or_close_order,dlg-061066f5-b9d3-4537-9d77-a94233473558,9,"Aynen, onaylıyorum.",Tamam. Siparişi onaylamak istediğinizi anladım.
85,train,polite_thanks_closing,dlg-025a1022-3f81-4266-b4a9-da0b7deb3d24,7,"Teşekkürler, şimdilik bu kadar.",Rica ederim. Başka bir isteğiniz olmadığını anladım.
86,train,order_clarification,dlg-e67cbb51-2e6a-479d-896f-e34db7f729dd,9,Tatlı alabilir miyim?,Hangi tatlı istediğinizi belirtir misiniz? Güncel menüye bakarak netleştirebiliriz.
87,train,clear_order_item,dlg-0460c70c-34cb-43c5-affb-952f7365be73,4,1 salata istiyorum.,1 adet salata istediğinizi anladım. Güncel menüde varsa siparişe eklenebilir. Başka bir isteğiniz var mı?
88,train,order_clarification,dlg-7d0a150f-d7d9-40a5-aec2-e53c1069511c,9,Bir yan ürün istiyorum.,Hangi yan ürün istediğinizi belirtir misiniz? Güncel menüye bakarak netleştirebiliriz.
89,train,clear_order_item,dlg-15f8db6a-85dd-47a8-b477-6034b2d4f088,4,3 tavuk şiş istiyorum.,3 adet tavuk şiş istediğinizi anladım. Güncel menüde varsa siparişe eklenebilir. Başka bir isteğiniz var mı?
90,train,side_drink_extra_request,dlg-0c66117b-8113-4f69-9592-528c4c4d9e37,3,Yemeğin yanına 2 kahve alabilir miyim?,2 adet kahve istediğinizi anladım. Güncel menüde varsa siparişe eklenebilir. Başka bir isteğiniz var mı?
91,train,clear_order_item,dlg-259895a5-cadf-4564-9d88-5a7038cf8a2f,5,İki mercimek çorbası alabilir miyim?,Tabii. 2 adet mercimek çorbası istediğinizi anladım. Başka bir isteğiniz var mı?
92,train,add_more_quantity,dlg-185d3005-5216-442a-b398-abff73713f79,4,3 ayran daha.,Tabii. 3 adet ayran daha eklemek istediğinizi anladım. Başka bir isteğiniz var mı?
93,train,side_drink_extra_request,dlg-008c75b7-460f-430f-adcf-bd5dcc46854e,12,Bir de 1 ayran olsun.,Tabii. 1 adet ayran istediğinizi anladım. Başka bir isteğiniz var mı?
94,train,add_more_quantity,dlg-2f4545bb-5115-4df1-8cfe-4720476bf002,12,4 tavuk şiş daha.,4 adet tavuk şiş daha istediğinizi anladım. Güncel menüde varsa siparişe eklenebilir. Başka bir isteğiniz var mı?
95,train,add_more_quantity,dlg-2460eea6-d042-4483-8349-29310bd4b89e,13,3 sütlaç daha.,Tabii. 3 adet sütlaç daha eklemek istediğinizi anladım. Başka bir isteğiniz var mı?
96,train,clear_order_item,dlg-1e84b109-2218-472e-877f-8ae112a08dd2,4,4 künefe istiyorum.,4 adet künefe istediğinizi anladım. Güncel menüde varsa siparişe eklenebilir. Başka bir isteğiniz var mı?
97,train,add_more_quantity,dlg-1a98170b-36fc-46dc-9313-e119ec4c6b69,5,3 su daha.,3 adet su daha istediğinizi anladım. Güncel menüde varsa siparişe eklenebilir. Başka bir isteğiniz var mı?
98,train,confirm_or_close_order,dlg-0f3cb363-5f4f-4d15-b7de-b526ec34e526,7,Ek olarak bir şey yok.,Tamam. Başka bir isteğiniz olmadığını anladım.
99,train,clear_order_item,dlg-072b3156-9fab-408c-b5da-0c22c2721724,3,1 köfte istiyorum.,1 adet köfte istediğinizi anladım. Güncel menüde varsa siparişe eklenebilir. Başka bir isteğiniz var mı?
100,train,clear_order_item,dlg-1ae1917c-7c88-4207-9f79-93e7da8f6cd3,10,4 ezogelin çorbası istiyorum.,4 adet ezogelin çorbası istediğinizi anladım. Güncel menüde varsa siparişe eklenebilir. Başka bir isteğiniz var mı?
101,train,polite_thanks_closing,dlg-01765acc-b2cf-46b9-8961-7f259645b414,12,"Tamamdır, teşekkür ederim.",Rica ederim. Başka bir isteğiniz olmadığını anladım.
102,train,order_clarification,dlg-9d57fac8-d59c-4d7a-bbc9-1f0e877711e8,3,Bir salata istiyorum.,Hangi salata istediğinizi belirtir misiniz? Güncel menüye bakarak netleştirebiliriz.
103,train,add_more_quantity,dlg-0999a44a-d59d-4644-a297-b8196a1b2e65,3,1 kebap daha.,1 adet kebap daha istediğinizi anladım. Güncel menüde varsa siparişe eklenebilir. Başka bir isteğiniz var mı?
104,train,polite_thanks_closing,dlg-061066f5-b9d3-4537-9d77-a94233473558,9,"Teşekkürler, başka bir isteğim kalmadı.",Rica ederim. Başka bir isteğiniz olmadığını anladım.
105,train,clear_order_item,dlg-0bb76f70-aa2a-4ec3-9b38-a784af270063,2,2 tavuk şiş istiyorum.,2 adet tavuk şiş istediğinizi anladım. Güncel menüde varsa siparişe eklenebilir. Başka bir isteğiniz var mı?
106,train,add_more_quantity,dlg-32f5c93b-b547-48e7-aff2-0439e4436d67,5,Bir ayran daha alabilir miyim?,Tabii. 1 adet ayran daha eklemek istediğinizi anladım. Başka bir isteğiniz var mı?
107,train,remove_or_change_order,dlg-329820ec-f25c-4ee3-b1b2-73a908447c51,7,Lütfen mercimek çorbasını iptal edelim.,Tabii. Mercimek çorbasını siparişten çıkarmak istediğinizi anladım. Başka bir değişiklik var mı?
108,train,confirm_or_close_order,dlg-061066f5-b9d3-4537-9d77-a94233473558,4,Bu sipariş tamam.,Tamam. Siparişi onaylamak istediğinizi anladım.
109,train,order_clarification,dlg-7d0a150f-d7d9-40a5-aec2-e53c1069511c,7,Salata için seçenek söyler misiniz?,Salata seçenekleri için güncel menüye bakmak en doğrusu olur. Aklınızda belirli bir tercih var mı?
110,train,clear_order_item,dlg-1f8539d4-68e5-40b1-bc55-2a56dca1856a,4,Bir su alabilir miyim?,1 adet su istediğinizi anladım. Güncel menüde varsa siparişe eklenebilir. Başka bir isteğiniz var mı?
111,train,polite_thanks_closing,dlg-06e5677b-6e83-41db-bea2-16cab53f1d47,8,"Teşekkürler, kapatabiliriz.",Rica ederim. Başka bir isteğiniz olmadığını anladım.
112,train,clear_order_item,dlg-1e84b109-2218-472e-877f-8ae112a08dd2,3,4 sütlaç istiyorum.,Tabii. 4 adet sütlaç istediğinizi anladım. Başka bir isteğiniz var mı?
113,train,order_clarification,dlg-d728d947-0090-4e0d-80dc-21e355a196a2,4,Içecek alabilir miyim?,Hangi içecek istediğinizi belirtir misiniz? Güncel menüye bakarak netleştirebiliriz.
114,train,confirm_or_close_order,dlg-061066f5-b9d3-4537-9d77-a94233473558,11,"Evet, bu şekilde.",Tamam. Siparişi onaylamak istediğinizi anladım.
115,train,clear_order_item,dlg-16b0e9f1-454b-4ab1-9069-9ab39546ccac,9,3 kebap istiyorum.,3 adet kebap istediğinizi anladım. Güncel menüde varsa siparişe eklenebilir. Başka bir isteğiniz var mı?
116,train,clear_order_item,dlg-1f8539d4-68e5-40b1-bc55-2a56dca1856a,3,Bir limonata alabilir miyim?,Tabii. 1 adet limonata istediğinizi anladım. Başka bir isteğiniz var mı?
117,train,add_more_quantity,dlg-12fa13a5-805c-46f5-936c-592b1e39265b,5,2 kebap daha.,2 adet kebap daha istediğinizi anladım. Güncel menüde varsa siparişe eklenebilir. Başka bir isteğiniz var mı?
118,train,clear_order_item,dlg-2203cd63-7602-4be7-87c5-6c11f46b7ae6,5,Bir salata alabilir miyim?,1 adet salata istediğinizi anladım. Güncel menüde varsa siparişe eklenebilir. Başka bir isteğiniz var mı?
119,train,clear_order_item,dlg-115273a2-deac-4cbc-9964-7ec6e6602c9e,5,3 kahve istiyorum.,3 adet kahve istediğinizi anladım. Güncel menüde varsa siparişe eklenebilir. Başka bir isteğiniz var mı?
120,train,clear_order_item,dlg-07a5eb77-8852-41f7-a885-bf6c2c9404d1,5,1 patates kızartması istiyorum.,1 adet patates kızartması istediğinizi anladım. Güncel menüde varsa siparişe eklenebilir. Başka bir isteğiniz var mı?
121,train,polite_thanks_closing,dlg-06af4900-e9c9-4526-9621-7f4c102cf662,18,"Çok sağ olun, bu kadar olsun.",Rica ederim. Başka bir isteğiniz olmadığını anladım.
122,train,remove_or_change_order,dlg-2bd6c73d-f75f-4a59-8596-398e9b0859e9,5,"pilavı istemiyorum, çıkaralım.",Tabii. Pilavı siparişten çıkarmak istediğinizi anladım. Başka bir değişiklik var mı?
123,train,add_more_quantity,dlg-025a1022-3f81-4266-b4a9-da0b7deb3d24,3,1 çay daha.,1 adet çay daha istediğinizi anladım. Güncel menüde varsa siparişe eklenebilir. Başka bir isteğiniz var mı?
124,train,clear_order_item,dlg-0923d68b-08ce-4992-85d5-3933c7deddc8,10,2 çay istiyorum.,2 adet çay istediğinizi anladım. Güncel menüde varsa siparişe eklenebilir. Başka bir isteğiniz var mı?
125,train,clear_order_item,dlg-20df7277-300f-4b76-92cd-302f2052f59e,3,Bir mercimek çorbası alabilir miyim?,Tabii. 1 adet mercimek çorbası istediğinizi anladım. Başka bir isteğiniz var mı?
126,train,clear_order_item,dlg-09f9b8d3-9154-475f-b73d-9d6d4349e23f,3,2 mercimek çorbası istiyorum.,Tabii. 2 adet mercimek çorbası istediğinizi anladım. Başka bir isteğiniz var mı?
127,train,confirm_or_close_order,dlg-0354e60a-4747-408a-9d1b-6c981d4d579f,8,Siparişi kesinleştirebiliriz.,Tamam. Siparişi onaylamak istediğinizi anladım.
128,train,remove_or_change_order,dlg-1c7b1f54-e826-48bb-9ae7-e0479acfa120,5,ezogelin çorbasını siparişten çıkarabilir misiniz?,Tabii. Ezogelin çorbasını siparişten çıkarmak istediğinizi anladım. Başka bir değişiklik var mı?
129,train,confirm_or_close_order,dlg-09cccabc-a782-4d4a-b85a-220bad47cca9,5,Başka yok.,Tamam. Başka bir isteğiniz olmadığını anladım.
130,train,add_more_quantity,dlg-1b21a56a-66be-4586-9560-427bd537f2d6,12,3 soda daha.,3 adet soda daha istediğinizi anladım. Güncel menüde varsa siparişe eklenebilir. Başka bir isteğiniz var mı?
131,train,side_drink_extra_request,dlg-0adc24d6-bfa2-478e-80d1-5605779803a4,5,Bir de 2 su olsun.,2 adet su istediğinizi anladım. Güncel menüde varsa siparişe eklenebilir. Başka bir isteğiniz var mı?
132,train,clear_order_item,dlg-1dafe01a-bfa8-4d97-bfdc-c25071794e79,3,4 patates kızartması istiyorum.,4 adet patates kızartması istediğinizi anladım. Güncel menüde varsa siparişe eklenebilir. Başka bir isteğiniz var mı?
